k,alpha,isoId,classification
5,0.990,PH-026,null
6,0.990,PH-026,null
7,0.990,PH-026,null
8,0.990,PH-026,null
1,0.000,PH-025,null
2,0.000,PH-025,Cow
3,0.000,PH-025,Cow
4,0.000,PH-025,Cow
5,0.000,PH-025,Cow
6,0.000,PH-025,Cow
7,0.000,PH-025,Cow
8,0.000,PH-025,Cow
1,0.500,PH-025,null
2,0.500,PH-025,Cow
3,0.500,PH-025,Cow
4,0.500,PH-025,Cow
5,0.500,PH-025,Cow
6,0.500,PH-025,Cow
7,0.500,PH-025,Cow
8,0.500,PH-025,Cow
1,0.900,PH-025,null
2,0.900,PH-025,null
3,0.900,PH-025,null
4,0.900,PH-025,null
5,0.900,PH-025,null
6,0.900,PH-025,null
7,0.900,PH-025,null
8,0.900,PH-025,null
1,0.950,PH-025,null
2,0.950,PH-025,null
3,0.950,PH-025,null
4,0.950,PH-025,null
5,0.950,PH-025,null
6,0.950,PH-025,null
7,0.950,PH-025,null
8,0.950,PH-025,null
1,0.980,PH-025,null
2,0.980,PH-025,null
3,0.980,PH-025,null
4,0.980,PH-025,null
5,0.980,PH-025,null
6,0.980,PH-025,null
7,0.980,PH-025,null
8,0.980,PH-025,null
1,0.990,PH-025,null
2,0.990,PH-025,null
3,0.990,PH-025,null
4,0.990,PH-025,null
5,0.990,PH-025,null
6,0.990,PH-025,null
7,0.990,PH-025,null
8,0.990,PH-025,null
1,0.000,PH-024,null
2,0.000,PH-024,Cow
3,0.000,PH-024,Cow
4,0.000,PH-024,Cow
5,0.000,PH-024,Cow
6,0.000,PH-024,Cow
7,0.000,PH-024,Cow
8,0.000,PH-024,Cow
1,0.500,PH-024,null
2,0.500,PH-024,Cow
3,0.500,PH-024,Cow
4,0.500,PH-024,Cow
5,0.500,PH-024,Cow
6,0.500,PH-024,Cow
7,0.500,PH-024,Cow
8,0.500,PH-024,Cow
1,0.900,PH-024,null
2,0.900,PH-024,null
3,0.900,PH-024,null
4,0.900,PH-024,null
5,0.900,PH-024,null
6,0.900,PH-024,null
7,0.900,PH-024,null
8,0.900,PH-024,null
1,0.950,PH-024,null
2,0.950,PH-024,null
3,0.950,PH-024,null
4,0.950,PH-024,null
5,0.950,PH-024,null
6,0.950,PH-024,null
7,0.950,PH-024,null
8,0.950,PH-024,null
1,0.980,PH-024,null
2,0.980,PH-024,null
3,0.980,PH-024,null
4,0.980,PH-024,null
5,0.980,PH-024,null
6,0.980,PH-024,null
7,0.980,PH-024,null
8,0.980,PH-024,null
1,0.990,PH-024,null
2,0.990,PH-024,null
3,0.990,PH-024,null
4,0.990,PH-024,null
5,0.990,PH-024,null
6,0.990,PH-024,null
7,0.990,PH-024,null
8,0.990,PH-024,null
1,0.000,PH-023,null
2,0.000,PH-023,Cow
3,0.000,PH-023,Cow
4,0.000,PH-023,Cow
5,0.000,PH-023,Cow
6,0.000,PH-023,Horse
7,0.000,PH-023,Cow
8,0.000,PH-023,Horse
1,0.500,PH-023,null
2,0.500,PH-023,Cow
3,0.500,PH-023,Cow
4,0.500,PH-023,Cow
5,0.500,PH-023,Cow
6,0.500,PH-023,Horse
7,0.500,PH-023,Cow
8,0.500,PH-023,Horse
1,0.900,PH-023,null
2,0.900,PH-023,null
3,0.900,PH-023,null
4,0.900,PH-023,null
5,0.900,PH-023,null
6,0.900,PH-023,null
7,0.900,PH-023,null
8,0.900,PH-023,null
1,0.950,PH-023,null
2,0.950,PH-023,null
3,0.950,PH-023,null
4,0.950,PH-023,null
5,0.950,PH-023,null
6,0.950,PH-023,null
7,0.950,PH-023,null
8,0.950,PH-023,null
1,0.980,PH-023,null
2,0.980,PH-023,null
3,0.980,PH-023,null
4,0.980,PH-023,null
5,0.980,PH-023,null
6,0.980,PH-023,null
7,0.980,PH-023,null
8,0.980,PH-023,null
1,0.990,PH-023,null
2,0.990,PH-023,null
3,0.990,PH-023,null
4,0.990,PH-023,null
5,0.990,PH-023,null
6,0.990,PH-023,null
7,0.990,PH-023,null
8,0.990,PH-023,null
1,0.000,PH-022,null
2,0.000,PH-022,Cow
3,0.000,PH-022,Cow
4,0.000,PH-022,Cow
5,0.000,PH-022,Cow
6,0.000,PH-022,Cow
7,0.000,PH-022,Cow
8,0.000,PH-022,Cow
1,0.500,PH-022,null
2,0.500,PH-022,Cow
3,0.500,PH-022,Cow
4,0.500,PH-022,Cow
5,0.500,PH-022,Cow
6,0.500,PH-022,Cow
7,0.500,PH-022,Cow
8,0.500,PH-022,Cow
1,0.900,PH-022,null
2,0.900,PH-022,null
3,0.900,PH-022,null
4,0.900,PH-022,null
5,0.900,PH-022,null
6,0.900,PH-022,null
7,0.900,PH-022,null
8,0.900,PH-022,null
1,0.950,PH-022,null
2,0.950,PH-022,null
3,0.950,PH-022,null
4,0.950,PH-022,null
5,0.950,PH-022,null
6,0.950,PH-022,null
7,0.950,PH-022,null
8,0.950,PH-022,null
1,0.980,PH-022,null
2,0.980,PH-022,null
3,0.980,PH-022,null
4,0.980,PH-022,null
5,0.980,PH-022,null
6,0.980,PH-022,null
7,0.980,PH-022,null
8,0.980,PH-022,null
1,0.990,PH-022,null
2,0.990,PH-022,null
3,0.990,PH-022,null
4,0.990,PH-022,null
5,0.990,PH-022,null
6,0.990,PH-022,null
7,0.990,PH-022,null
8,0.990,PH-022,null
1,0.000,PH-021,null
2,0.000,PH-021,Cow
3,0.000,PH-021,Cow
4,0.000,PH-021,Cow
5,0.000,PH-021,Cow
6,0.000,PH-021,Cow
