k,alpha,species,applied-region,Successes (# Pyroprints),Failures (# Pyroprints),NonDecisions (# Pyroprints),Total,Decision-Made Relevance,Overall Relevance,
1,0.000,Wild Turkey,23-5,14,66,0,80,0.175,0.175,
1,0.000,Clark Grebe,16-23,0,0,0,0,NaN,NaN,
1,0.000,Clark Grebe,23-5,2,4,0,6,0.333,0.333,
1,0.000,Seagull,16-23,0,0,0,0,NaN,NaN,
1,0.000,Seagull,23-5,33,9,0,42,0.786,0.786,
1,0.000,Surf Scoter,16-23,0,0,0,0,NaN,NaN,
1,0.000,Surf Scoter,23-5,2,3,0,5,0.400,0.400,
1,0.000,Pigeon,16-23,132,198,0,330,0.400,0.400,
1,0.000,Pigeon,23-5,150,374,0,524,0.286,0.286,
1,0.000,Pacific Ocean Water,16-23,0,0,0,0,NaN,NaN,
1,0.000,Pacific Ocean Water,23-5,0,0,0,0,NaN,NaN,
1,0.000,Cat,16-23,41,28,0,69,0.594,0.594,
1,0.000,Cat,23-5,39,37,0,76,0.513,0.513,
1,0.000,Horse,16-23,21,42,0,63,0.333,0.333,
1,0.000,Horse,23-5,51,238,0,289,0.176,0.176,
1,0.000,orangutan,16-23,0,0,0,0,NaN,NaN,
1,0.000,orangutan,23-5,0,4,0,4,0.000,0.000,
1,0.000,Bat,16-23,36,7,0,43,0.837,0.837,
1,0.000,Bat,23-5,37,23,0,60,0.617,0.617,
1,0.000,Deer,16-23,17,13,0,30,0.567,0.567,
1,0.000,Deer,23-5,18,46,0,64,0.281,0.281,
1,0.000,Great Horned Owl,16-23,0,2,0,2,0.000,0.000,
1,0.000,Great Horned Owl,23-5,1,9,0,10,0.100,0.100,
1,0.000,Freshwater Lagoon,16-23,0,0,0,0,NaN,NaN,
1,0.000,Freshwater Lagoon,23-5,0,0,0,0,NaN,NaN,
1,0.000,Unknown Avian,16-23,0,2,0,2,0.000,0.000,
1,0.000,Unknown Avian,23-5,0,2,0,2,0.000,0.000,
1,0.000,Human UTI,16-23,115,88,0,203,0.567,0.567,
1,0.000,Human UTI,23-5,129,82,0,211,0.611,0.611,
1,0.000,unknown,16-23,6,8,0,14,0.429,0.429,
1,0.000,unknown,23-5,8,13,0,21,0.381,0.381,
1,0.000,SLO Creek Water,16-23,0,0,0,0,NaN,NaN,
1,0.000,SLO Creek Water,23-5,6,1,0,7,0.857,0.857,
1,0.000,Pig/Swine,16-23,14,12,0,26,0.538,0.538,
1,0.000,Pig/Swine,23-5,12,9,0,21,0.571,0.571,
1,0.000,Klebsiella,16-23,0,0,0,0,NaN,NaN,
1,0.000,Klebsiella,23-5,0,0,0,0,NaN,NaN,
1,0.000,Hu Cw and Dg,16-23,12,17,0,29,0.414,0.414,
1,0.000,Hu Cw and Dg,23-5,21,20,0,41,0.512,0.512,
1,0.000,Ground Squirrel,16-23,114,78,0,192,0.594,0.594,
1,0.000,Ground Squirrel,23-5,116,84,0,200,0.580,0.580,
1,0.000,Opossum,16-23,4,1,0,5,0.800,0.800,
1,0.000,Opossum,23-5,5,8,0,13,0.385,0.385,
1,0.000,Cow,16-23,1573,864,0,2437,0.645,0.645,
1,0.000,Cow,23-5,1545,1045,0,2590,0.597,0.597,
1,0.000,Deer Mouse,16-23,0,5,0,5,0.000,0.000,
1,0.000,Deer Mouse,23-5,0,0,0,0,NaN,NaN,
1,0.000,OVERALL,16-23,4196,2152,0,6348,0.661,0.661,
1,0.000,OVERALL,23-5,4816,2794,0,7610,0.633,0.633,
1,0.500,Chicken,16-23,22,29,0,51,0.431,0.431,
1,0.500,Chicken,23-5,28,11,0,39,0.718,0.718,
1,0.500,Sea Lion,16-23,1,1,0,2,0.500,0.500,
1,0.500,Sea Lion,23-5,4,3,0,7,0.571,0.571,
1,0.500,Hu and Cw,16-23,15,26,0,41,0.366,0.366,
1,0.500,Hu and Cw,23-5,15,33,0,48,0.313,0.313,
1,0.500,Sheep,16-23,78,64,0,142,0.549,0.549,
1,0.500,Sheep,23-5,78,32,0,110,0.709,0.709,
1,0.500,Hu and Dg,16-23,16,24,0,40,0.400,0.400,
1,0.500,Hu and Dg,23-5,20,15,0,35,0.571,0.571,
1,0.500,Common Loon,16-23,2,0,0,2,1.000,1.000,
1,0.500,Common Loon,23-5,0,4,0,4,0.000,0.000,
1,0.500,Red-Winged Blackbird,16-23,2,5,0,7,0.286,0.286,
1,0.500,Red-Winged Blackbird,23-5,2,4,0,6,0.333,0.333,
1,0.500,Cw,16-23,17,25,0,42,0.405,0.405,
1,0.500,Cw,23-5,31,55,0,86,0.360,0.360,
1,0.500,Cliff Sparrow,16-23,16,29,0,45,0.356,0.356,
1,0.500,Cliff Sparrow,23-5,10,34,0,44,0.227,0.227,
1,0.500,Pig,16-23,23,16,0,39,0.590,0.590,
1,0.500,Pig,23-5,20,18,0,38,0.526,0.526,
1,0.500,Barn Owl,16-23,0,0,0,0,NaN,NaN,
1,0.500,Barn Owl,23-5,2,6,0,8,0.250,0.250,
1,0.500,Wild Pig,16-23,5,8,0,13,0.385,0.385,
1,0.500,Wild Pig,23-5,7,6,0,13,0.538,0.538,
1,0.500,Pennington Creek Water,16-23,0,0,0,0,NaN,NaN,
1,0.500,Pennington Creek Water,23-5,0,0,0,0,NaN,NaN,
1,0.500,Guinni,16-23,0,0,0,0,NaN,NaN,
1,0.500,Guinni,23-5,0,2,0,2,0.000,0.000,
1,0.500,Racoon,16-23,2,3,0,5,0.400,0.400,
1,0.500,Racoon,23-5,0,4,0,4,0.000,0.000,
1,0.500,Hu,16-23,27,9,0,36,0.750,0.750,
1,0.500,Hu,23-5,25,13,0,38,0.658,0.658,
1,0.500,Cw and Dg,16-23,15,21,0,36,0.417,0.417,
1,0.500,Cw and Dg,23-5,19,29,0,48,0.396,0.396,
1,0.500,Red Wind Blackbird,16-23,0,0,0,0,NaN,NaN,
1,0.500,Red Wind Blackbird,23-5,0,1,0,1,0.000,0.000,
1,0.500,Tree Swallow,16-23,2,6,0,8,0.250,0.250,
1,0.500,Tree Swallow,23-5,2,1,0,3,0.667,0.667,
1,0.500,Turkey Vulture,16-23,0,2,0,2,0.000,0.000,
1,0.500,Turkey Vulture,23-5,0,2,0,2,0.000,0.000,
1,0.500,Dg,16-23,11,16,0,27,0.407,0.407,
1,0.500,Dg,23-5,27,10,0,37,0.730,0.730,
1,0.500,Western Kingbird,16-23,0,3,0,3,0.000,0.000,
1,0.500,Western Kingbird,23-5,0,0,0,0,NaN,NaN,
1,0.500,White Crowned Sparrow,16-23,13,5,0,18,0.722,0.722,
1,0.500,White Crowned Sparrow,23-5,8,16,0,24,0.333,0.333,
1,0.500,Eared Grebe,16-23,0,0,0,0,NaN,NaN,
1,0.500,Eared Grebe,23-5,2,2,0,4,0.500,0.500,
1,0.500,cougar,16-23,0,1,0,1,0.000,0.000,
1,0.500,cougar,23-5,0,0,0,0,NaN,NaN,
1,0.500,Ocean Water,16-23,0,0,0,0,NaN,NaN,
1,0.500,Ocean Water,23-5,0,0,0,0,NaN,NaN,
1,0.500,Red Tailed Hawk,16-23,2,0,0,2,1.000,1.000,
1,0.500,Red Tailed Hawk,23-5,0,10,0,10,0.000,0.000,
1,0.500,Dog,16-23,97,72,0,169,0.574,0.574,
1,0.500,Dog,23-5,156,133,0,289,0.540,0.540,
1,0.500,Human,16-23,1727,366,0,2093,0.825,0.825,
1,0.500,Human,23-5,2171,273,0,2444,0.888,0.888,
1,0.500,Wild Turkey,16-23,18,56,0,74,0.243,0.243,
1,0.500,Wild Turkey,23-5,14,66,0,80,0.175,0.175,
1,0.500,Clark Grebe,16-23,0,0,0,0,NaN,NaN,
1,0.500,Clark Grebe,23-5,2,4,0,6,0.333,0.333,
1,0.500,Seagull,16-23,0,0,0,0,NaN,NaN,
1,0.500,Seagull,23-5,33,9,0,42,0.786,0.786,
1,0.500,Surf Scoter,16-23,0,0,0,0,NaN,NaN,
1,0.500,Surf Scoter,23-5,2,3,0,5,0.400,0.400,
1,0.500,Pigeon,16-23,132,198,0,330,0.400,0.400,
1,0.500,Pigeon,23-5,150,374,0,524,0.286,0.286,
1,0.500,Pacific Ocean Water,16-23,0,0,0,0,NaN,NaN,
1,0.500,Pacific Ocean Water,23-5,0,0,0,0,NaN,NaN,
1,0.500,Cat,16-23,41,28,0,69,0.594,0.594,
1,0.500,Cat,23-5,39,37,0,76,0.513,0.513,
1,0.500,Horse,16-23,21,42,0,63,0.333,0.333,
1,0.500,Horse,23-5,51,238,0,289,0.176,0.176,
1,0.500,orangutan,16-23,0,0,0,0,NaN,NaN,
1,0.500,orangutan,23-5,0,4,0,4,0.000,0.000,
1,0.500,Bat,16-23,36,7,0,43,0.837,0.837,
1,0.500,Bat,23-5,37,23,0,60,0.617,0.617,
1,0.500,Deer,16-23,17,13,0,30,0.567,0.567,
1,0.500,Deer,23-5,18,46,0,64,0.281,0.281,
1,0.500,Great Horned Owl,16-23,0,2,0,2,0.000,0.000,
1,0.500,Great Horned Owl,23-5,1,9,0,10,0.100,0.100,
1,0.500,Freshwater Lagoon,16-23,0,0,0,0,NaN,NaN,
1,0.500,Freshwater Lagoon,23-5,0,0,0,0,NaN,NaN,
1,0.500,Unknown Avian,16-23,0,2,0,2,0.000,0.000,
1,0.500,Unknown Avian,23-5,0,2,0,2,0.000,0.000,
1,0.500,Human UTI,16-23,115,88,0,203,0.567,0.567,
1,0.500,Human UTI,23-5,129,82,0,211,0.611,0.611,
1,0.500,unknown,16-23,6,8,0,14,0.429,0.429,
1,0.500,unknown,23-5,8,13,0,21,0.381,0.381,
1,0.500,SLO Creek Water,16-23,0,0,0,0,NaN,NaN,
1,0.500,SLO Creek Water,23-5,6,1,0,7,0.857,0.857,
1,0.500,Pig/Swine,16-23,14,12,0,26,0.538,0.538,
1,0.500,Pig/Swine,23-5,12,9,0,21,0.571,0.571,
1,0.500,Klebsiella,16-23,0,0,0,0,NaN,NaN,
1,0.500,Klebsiella,23-5,0,0,0,0,NaN,NaN,
1,0.500,Hu Cw and Dg,16-23,12,17,0,29,0.414,0.414,
1,0.500,Hu Cw and Dg,23-5,21,20,0,41,0.512,0.512,
1,0.500,Ground Squirrel,16-23,114,78,0,192,0.594,0.594,
1,0.500,Ground Squirrel,23-5,116,84,0,200,0.580,0.580,
1,0.500,Opossum,16-23,4,1,0,5,0.800,0.800,
1,0.500,Opossum,23-5,5,8,0,13,0.385,0.385,
1,0.500,Cow,16-23,1573,864,0,2437,0.645,0.645,
1,0.500,Cow,23-5,1545,1045,0,2590,0.597,0.597,
1,0.500,Deer Mouse,16-23,0,5,0,5,0.000,0.000,
1,0.500,Deer Mouse,23-5,0,0,0,0,NaN,NaN,
1,0.500,OVERALL,16-23,4196,2152,0,6348,0.661,0.661,
1,0.500,OVERALL,23-5,4816,2794,0,7610,0.633,0.633,
1,0.900,Chicken,16-23,22,29,0,51,0.431,0.431,
1,0.900,Chicken,23-5,28,11,0,39,0.718,0.718,
1,0.900,Sea Lion,16-23,1,1,0,2,0.500,0.500,
1,0.900,Sea Lion,23-5,4,3,0,7,0.571,0.571,
1,0.900,Hu and Cw,16-23,15,26,0,41,0.366,0.366,
1,0.900,Hu and Cw,23-5,15,33,0,48,0.313,0.313,
1,0.900,Sheep,16-23,78,64,0,142,0.549,0.549,
1,0.900,Sheep,23-5,78,32,0,110,0.709,0.709,
1,0.900,Hu and Dg,16-23,16,24,0,40,0.400,0.400,
1,0.900,Hu and Dg,23-5,20,15,0,35,0.571,0.571,
1,0.900,Common Loon,16-23,2,0,0,2,1.000,1.000,
1,0.900,Common Loon,23-5,0,4,0,4,0.000,0.000,
1,0.900,Red-Winged Blackbird,16-23,2,5,0,7,0.286,0.286,
1,0.900,Red-Winged Blackbird,23-5,2,4,0,6,0.333,0.333,
1,0.900,Cw,16-23,17,25,0,42,0.405,0.405,
1,0.900,Cw,23-5,31,55,0,86,0.360,0.360,
1,0.900,Cliff Sparrow,16-23,16,29,0,45,0.356,0.356,
1,0.900,Cliff Sparrow,23-5,10,34,0,44,0.227,0.227,
1,0.900,Pig,16-23,23,16,0,39,0.590,0.590,
1,0.900,Pig,23-5,20,18,0,38,0.526,0.526,
1,0.900,Barn Owl,16-23,0,0,0,0,NaN,NaN,
1,0.900,Barn Owl,23-5,2,6,0,8,0.250,0.250,
1,0.900,Wild Pig,16-23,5,8,0,13,0.385,0.385,
1,0.900,Wild Pig,23-5,7,6,0,13,0.538,0.538,
1,0.900,Pennington Creek Water,16-23,0,0,0,0,NaN,NaN,
1,0.900,Pennington Creek Water,23-5,0,0,0,0,NaN,NaN,
1,0.900,Guinni,16-23,0,0,0,0,NaN,NaN,
1,0.900,Guinni,23-5,0,2,0,2,0.000,0.000,
1,0.900,Racoon,16-23,2,3,0,5,0.400,0.400,
1,0.900,Racoon,23-5,0,4,0,4,0.000,0.000,
1,0.900,Hu,16-23,27,9,0,36,0.750,0.750,
1,0.900,Hu,23-5,25,13,0,38,0.658,0.658,
1,0.900,Cw and Dg,16-23,15,21,0,36,0.417,0.417,
1,0.900,Cw and Dg,23-5,19,29,0,48,0.396,0.396,
1,0.900,Red Wind Blackbird,16-23,0,0,0,0,NaN,NaN,
1,0.900,Red Wind Blackbird,23-5,0,1,0,1,0.000,0.000,
1,0.900,Tree Swallow,16-23,2,6,0,8,0.250,0.250,
1,0.900,Tree Swallow,23-5,2,1,0,3,0.667,0.667,
1,0.900,Turkey Vulture,16-23,0,2,0,2,0.000,0.000,
1,0.900,Turkey Vulture,23-5,0,2,0,2,0.000,0.000,
1,0.900,Dg,16-23,11,16,0,27,0.407,0.407,
1,0.900,Dg,23-5,27,10,0,37,0.730,0.730,
1,0.900,Western Kingbird,16-23,0,3,0,3,0.000,0.000,
1,0.900,Western Kingbird,23-5,0,0,0,0,NaN,NaN,
1,0.900,White Crowned Sparrow,16-23,13,5,0,18,0.722,0.722,
1,0.900,White Crowned Sparrow,23-5,8,16,0,24,0.333,0.333,
1,0.900,Eared Grebe,16-23,0,0,0,0,NaN,NaN,
1,0.900,Eared Grebe,23-5,2,2,0,4,0.500,0.500,
1,0.900,cougar,16-23,0,1,0,1,0.000,0.000,
1,0.900,cougar,23-5,0,0,0,0,NaN,NaN,
1,0.900,Ocean Water,16-23,0,0,0,0,NaN,NaN,
1,0.900,Ocean Water,23-5,0,0,0,0,NaN,NaN,
1,0.900,Red Tailed Hawk,16-23,2,0,0,2,1.000,1.000,
1,0.900,Red Tailed Hawk,23-5,0,10,0,10,0.000,0.000,
1,0.900,Dog,16-23,97,72,0,169,0.574,0.574,
1,0.900,Dog,23-5,156,131,0,287,0.544,0.544,
1,0.900,Human,16-23,1727,364,0,2091,0.826,0.826,
1,0.900,Human,23-5,2171,271,0,2442,0.889,0.889,
1,0.900,Wild Turkey,16-23,18,56,0,74,0.243,0.243,
1,0.900,Wild Turkey,23-5,14,66,0,80,0.175,0.175,
1,0.900,Clark Grebe,16-23,0,0,0,0,NaN,NaN,
1,0.900,Clark Grebe,23-5,2,3,0,5,0.400,0.400,
1,0.900,Seagull,16-23,0,0,0,0,NaN,NaN,
1,0.900,Seagull,23-5,33,9,0,42,0.786,0.786,
1,0.900,Surf Scoter,16-23,0,0,0,0,NaN,NaN,
1,0.900,Surf Scoter,23-5,2,3,0,5,0.400,0.400,
1,0.900,Pigeon,16-23,132,198,0,330,0.400,0.400,
1,0.900,Pigeon,23-5,150,374,0,524,0.286,0.286,
1,0.900,Pacific Ocean Water,16-23,0,0,0,0,NaN,NaN,
1,0.900,Pacific Ocean Water,23-5,0,0,0,0,NaN,NaN,
1,0.900,Cat,16-23,41,28,0,69,0.594,0.594,
1,0.900,Cat,23-5,39,37,0,76,0.513,0.513,
1,0.900,Horse,16-23,21,42,0,63,0.333,0.333,
1,0.900,Horse,23-5,51,238,0,289,0.176,0.176,
1,0.900,orangutan,16-23,0,0,0,0,NaN,NaN,
1,0.900,orangutan,23-5,0,4,0,4,0.000,0.000,
1,0.900,Bat,16-23,36,7,0,43,0.837,0.837,
1,0.900,Bat,23-5,37,23,0,60,0.617,0.617,
1,0.900,Deer,16-23,17,13,0,30,0.567,0.567,
1,0.900,Deer,23-5,18,46,0,64,0.281,0.281,
1,0.900,Great Horned Owl,16-23,0,2,0,2,0.000,0.000,
1,0.900,Great Horned Owl,23-5,1,9,0,10,0.100,0.100,
1,0.900,Freshwater Lagoon,16-23,0,0,0,0,NaN,NaN,
1,0.900,Freshwater Lagoon,23-5,0,0,0,0,NaN,NaN,
1,0.900,Unknown Avian,16-23,0,2,0,2,0.000,0.000,
1,0.900,Unknown Avian,23-5,0,2,0,2,0.000,0.000,
1,0.900,Human UTI,16-23,115,88,0,203,0.567,0.567,
1,0.900,Human UTI,23-5,129,82,0,211,0.611,0.611,
1,0.900,unknown,16-23,6,8,0,14,0.429,0.429,
1,0.900,unknown,23-5,8,13,0,21,0.381,0.381,
1,0.900,SLO Creek Water,16-23,0,0,0,0,NaN,NaN,
1,0.900,SLO Creek Water,23-5,6,1,0,7,0.857,0.857,
1,0.900,Pig/Swine,16-23,14,12,0,26,0.538,0.538,
1,0.900,Pig/Swine,23-5,12,9,0,21,0.571,0.571,
1,0.900,Klebsiella,16-23,0,0,0,0,NaN,NaN,
1,0.900,Klebsiella,23-5,0,0,0,0,NaN,NaN,
1,0.900,Hu Cw and Dg,16-23,12,17,0,29,0.414,0.414,
1,0.900,Hu Cw and Dg,23-5,21,20,0,41,0.512,0.512,
1,0.900,Ground Squirrel,16-23,114,78,0,192,0.594,0.594,
1,0.900,Ground Squirrel,23-5,116,84,0,200,0.580,0.580,
1,0.900,Opossum,16-23,4,1,0,5,0.800,0.800,
1,0.900,Opossum,23-5,5,8,0,13,0.385,0.385,
1,0.900,Cow,16-23,1573,862,0,2435,0.646,0.646,
1,0.900,Cow,23-5,1545,1042,0,2587,0.597,0.597,
1,0.900,Deer Mouse,16-23,0,5,0,5,0.000,0.000,
1,0.900,Deer Mouse,23-5,0,0,0,0,NaN,NaN,
1,0.900,OVERALL,16-23,4196,2148,0,6344,0.661,0.661,
1,0.900,OVERALL,23-5,4816,2786,0,7602,0.634,0.634,
1,0.950,Chicken,16-23,22,29,0,51,0.431,0.431,
1,0.950,Chicken,23-5,28,11,0,39,0.718,0.718,
1,0.950,Sea Lion,16-23,1,1,0,2,0.500,0.500,
1,0.950,Sea Lion,23-5,4,3,0,7,0.571,0.571,
1,0.950,Hu and Cw,16-23,15,26,0,41,0.366,0.366,
1,0.950,Hu and Cw,23-5,15,33,0,48,0.313,0.313,
1,0.950,Sheep,16-23,78,64,0,142,0.549,0.549,
1,0.950,Sheep,23-5,78,32,0,110,0.709,0.709,
1,0.950,Hu and Dg,16-23,16,24,0,40,0.400,0.400,
1,0.950,Hu and Dg,23-5,20,15,0,35,0.571,0.571,
1,0.950,Common Loon,16-23,2,0,0,2,1.000,1.000,
1,0.950,Common Loon,23-5,0,4,0,4,0.000,0.000,
1,0.950,Red-Winged Blackbird,16-23,2,5,0,7,0.286,0.286,
1,0.950,Red-Winged Blackbird,23-5,2,4,0,6,0.333,0.333,
1,0.950,Cw,16-23,17,25,0,42,0.405,0.405,
1,0.950,Cw,23-5,31,55,0,86,0.360,0.360,
1,0.950,Cliff Sparrow,16-23,16,29,0,45,0.356,0.356,
1,0.950,Cliff Sparrow,23-5,10,34,0,44,0.227,0.227,
1,0.950,Pig,16-23,23,16,0,39,0.590,0.590,
1,0.950,Pig,23-5,20,18,0,38,0.526,0.526,
1,0.950,Barn Owl,16-23,0,0,0,0,NaN,NaN,
1,0.950,Barn Owl,23-5,2,6,0,8,0.250,0.250,
1,0.950,Wild Pig,16-23,5,8,0,13,0.385,0.385,
1,0.950,Wild Pig,23-5,7,5,0,12,0.583,0.583,
1,0.950,Pennington Creek Water,16-23,0,0,0,0,NaN,NaN,
1,0.950,Pennington Creek Water,23-5,0,0,0,0,NaN,NaN,
1,0.950,Guinni,16-23,0,0,0,0,NaN,NaN,
1,0.950,Guinni,23-5,0,2,0,2,0.000,0.000,
1,0.950,Racoon,16-23,2,3,0,5,0.400,0.400,
1,0.950,Racoon,23-5,0,4,0,4,0.000,0.000,
1,0.950,Hu,16-23,27,9,0,36,0.750,0.750,
1,0.950,Hu,23-5,25,13,0,38,0.658,0.658,
1,0.950,Cw and Dg,16-23,15,21,0,36,0.417,0.417,
1,0.950,Cw and Dg,23-5,18,29,0,47,0.383,0.383,
1,0.950,Red Wind Blackbird,16-23,0,0,0,0,NaN,NaN,
1,0.950,Red Wind Blackbird,23-5,0,1,0,1,0.000,0.000,
1,0.950,Tree Swallow,16-23,2,6,0,8,0.250,0.250,
1,0.950,Tree Swallow,23-5,2,1,0,3,0.667,0.667,
1,0.950,Turkey Vulture,16-23,0,2,0,2,0.000,0.000,
1,0.950,Turkey Vulture,23-5,0,2,0,2,0.000,0.000,
1,0.950,Dg,16-23,11,16,0,27,0.407,0.407,
1,0.950,Dg,23-5,27,10,0,37,0.730,0.730,
1,0.950,Western Kingbird,16-23,0,3,0,3,0.000,0.000,
1,0.950,Western Kingbird,23-5,0,0,0,0,NaN,NaN,
1,0.950,White Crowned Sparrow,16-23,13,5,0,18,0.722,0.722,
1,0.950,White Crowned Sparrow,23-5,8,16,0,24,0.333,0.333,
1,0.950,Eared Grebe,16-23,0,0,0,0,NaN,NaN,
1,0.950,Eared Grebe,23-5,2,2,0,4,0.500,0.500,
1,0.950,cougar,16-23,0,1,0,1,0.000,0.000,
1,0.950,cougar,23-5,0,0,0,0,NaN,NaN,
1,0.950,Ocean Water,16-23,0,0,0,0,NaN,NaN,
1,0.950,Ocean Water,23-5,0,0,0,0,NaN,NaN,
1,0.950,Red Tailed Hawk,16-23,2,0,0,2,1.000,1.000,
1,0.950,Red Tailed Hawk,23-5,0,10,0,10,0.000,0.000,
1,0.950,Dog,16-23,97,72,0,169,0.574,0.574,
1,0.950,Dog,23-5,156,131,0,287,0.544,0.544,
1,0.950,Human,16-23,1727,362,0,2089,0.827,0.827,
1,0.950,Human,23-5,2171,268,0,2439,0.890,0.890,
1,0.950,Wild Turkey,16-23,18,56,0,74,0.243,0.243,
1,0.950,Wild Turkey,23-5,14,66,0,80,0.175,0.175,
1,0.950,Clark Grebe,16-23,0,0,0,0,NaN,NaN,
1,0.950,Clark Grebe,23-5,2,3,0,5,0.400,0.400,
1,0.950,Seagull,16-23,0,0,0,0,NaN,NaN,
1,0.950,Seagull,23-5,33,8,0,41,0.805,0.805,
1,0.950,Surf Scoter,16-23,0,0,0,0,NaN,NaN,
1,0.950,Surf Scoter,23-5,2,0,0,2,1.000,1.000,
1,0.950,Pigeon,16-23,132,198,0,330,0.400,0.400,
1,0.950,Pigeon,23-5,150,374,0,524,0.286,0.286,
1,0.950,Pacific Ocean Water,16-23,0,0,0,0,NaN,NaN,
1,0.950,Pacific Ocean Water,23-5,0,0,0,0,NaN,NaN,
1,0.950,Cat,16-23,41,28,0,69,0.594,0.594,
1,0.950,Cat,23-5,39,37,0,76,0.513,0.513,
1,0.950,Horse,16-23,21,42,0,63,0.333,0.333,
1,0.950,Horse,23-5,51,238,0,289,0.176,0.176,
1,0.950,orangutan,16-23,0,0,0,0,NaN,NaN,
1,0.950,orangutan,23-5,0,4,0,4,0.000,0.000,
1,0.950,Bat,16-23,36,7,0,43,0.837,0.837,
1,0.950,Bat,23-5,37,20,0,57,0.649,0.649,
1,0.950,Deer,16-23,17,13,0,30,0.567,0.567,
1,0.950,Deer,23-5,18,46,0,64,0.281,0.281,
1,0.950,Great Horned Owl,16-23,0,2,0,2,0.000,0.000,
1,0.950,Great Horned Owl,23-5,1,9,0,10,0.100,0.100,
