k,alpha,species,applied-region,Successes (# Pyroprints),Failures (# Pyroprints),NonDecisions (# Pyroprints),Total,Decision-Made Accuracy,Overall Accuracy,
1,0.000,Dog,16-23,100,38,0,138,0.725,0.725,
1,0.000,Dog,23-5,289,38,0,327,0.884,0.884,
1,0.000,Human,16-23,1729,147,0,1876,0.922,0.922,
1,0.000,Human,23-5,3644,154,0,3798,0.959,0.959,
1,0.000,Wild Turkey,16-23,18,28,0,46,0.391,0.391,
1,0.000,Wild Turkey,23-5,53,25,0,78,0.679,0.679,
1,0.000,Clark Grebe,16-23,0,0,0,0,NaN,NaN,
1,0.000,Clark Grebe,23-5,2,0,0,2,1.000,1.000,
1,0.000,Seagull,16-23,0,0,0,0,NaN,NaN,
1,0.000,Seagull,23-5,33,34,0,67,0.493,0.493,
1,0.000,Surf Scoter,16-23,0,0,0,0,NaN,NaN,
1,0.000,Surf Scoter,23-5,2,0,0,2,1.000,1.000,
1,0.000,Pigeon,16-23,132,108,0,240,0.550,0.550,
1,0.000,Pigeon,23-5,342,141,0,483,0.708,0.708,
1,0.000,Pacific Ocean Water,16-23,0,46,0,46,0.000,0.000,
1,0.000,Pacific Ocean Water,23-5,45,50,0,95,0.474,0.474,
1,0.000,Cat,16-23,41,12,0,53,0.774,0.774,
1,0.000,Cat,23-5,77,24,0,101,0.762,0.762,
1,0.000,Horse,16-23,21,25,0,46,0.457,0.457,
1,0.000,Horse,23-5,95,36,0,131,0.725,0.725,
1,0.000,orangutan,16-23,0,1,0,1,0.000,0.000,
1,0.000,orangutan,23-5,1,1,0,2,0.500,0.500,
1,0.000,Bat,16-23,36,1,0,37,0.973,0.973,
1,0.000,Bat,23-5,74,1,0,75,0.987,0.987,
1,0.000,Deer,16-23,17,4,0,21,0.810,0.810,
1,0.000,Deer,23-5,39,4,0,43,0.907,0.907,
1,0.000,Great Horned Owl,16-23,0,3,0,3,0.000,0.000,
1,0.000,Great Horned Owl,23-5,4,6,0,10,0.400,0.400,
1,0.000,Freshwater Lagoon,16-23,0,0,0,0,NaN,NaN,
1,0.000,Freshwater Lagoon,23-5,0,4,0,4,0.000,0.000,
1,0.000,Unknown Avian,16-23,0,2,0,2,0.000,0.000,
1,0.000,Unknown Avian,23-5,2,2,0,4,0.500,0.500,
1,0.000,Human UTI,16-23,115,24,0,139,0.827,0.827,
1,0.000,Human UTI,23-5,267,12,0,279,0.957,0.957,
1,0.000,unknown,16-23,6,5,0,11,0.545,0.545,
1,0.000,unknown,23-5,19,3,0,22,0.864,0.864,
1,0.000,SLO Creek Water,16-23,0,876,0,876,0.000,0.000,
1,0.000,SLO Creek Water,23-5,805,1326,0,2131,0.378,0.378,
1,0.000,Pig/Swine,16-23,15,11,0,26,0.577,0.577,
1,0.000,Pig/Swine,23-5,37,12,0,49,0.755,0.755,
1,0.000,Klebsiella,16-23,0,0,0,0,NaN,NaN,
1,0.000,Klebsiella,23-5,0,0,0,0,NaN,NaN,
1,0.000,Hu Cw and Dg,16-23,10,20,0,30,0.333,0.333,
1,0.000,Hu Cw and Dg,23-5,50,10,0,60,0.833,0.833,
1,0.000,Ground Squirrel,16-23,114,60,0,174,0.655,0.655,
1,0.000,Ground Squirrel,23-5,257,61,0,318,0.808,0.808,
1,0.000,Opossum,16-23,4,2,0,6,0.667,0.667,
1,0.000,Opossum,23-5,11,1,0,12,0.917,0.917,
1,0.000,Cow,16-23,1574,215,0,1789,0.880,0.880,
1,0.000,Cow,23-5,3272,218,0,3490,0.938,0.938,
1,0.000,Deer Mouse,16-23,0,2,0,2,0.000,0.000,
1,0.000,Deer Mouse,23-5,2,2,0,4,0.500,0.500,
1,0.000,OVERALL,16-23,4196,2152,0,6348,0.661,0.661,
1,0.000,OVERALL,23-5,10442,2794,0,13236,0.789,0.789,
1,0.500,Chicken,16-23,22,18,0,40,0.550,0.550,
1,0.500,Chicken,23-5,48,14,20,82,0.774,0.585,
1,0.500,Sea Lion,16-23,1,1,0,2,0.500,0.500,
1,0.500,Sea Lion,23-5,5,0,1,6,1.000,0.833,
1,0.500,Hu and Cw,16-23,17,13,0,30,0.567,0.567,
1,0.500,Hu and Cw,23-5,27,16,17,60,0.628,0.450,
1,0.500,Sheep,16-23,78,26,0,104,0.750,0.750,
1,0.500,Sheep,23-5,135,20,37,192,0.871,0.703,
1,0.500,Hu and Dg,16-23,19,13,0,32,0.594,0.594,
1,0.500,Hu and Dg,23-5,38,10,12,60,0.792,0.633,
1,0.500,Common Loon,16-23,2,0,0,2,1.000,1.000,
1,0.500,Common Loon,23-5,1,2,1,4,0.333,0.250,
1,0.500,Red-Winged Blackbird,16-23,2,0,0,2,1.000,1.000,
1,0.500,Red-Winged Blackbird,23-5,3,0,1,4,1.000,0.750,
1,0.500,Cw,16-23,17,13,0,30,0.567,0.567,
1,0.500,Cw,23-5,32,10,18,60,0.762,0.533,
1,0.500,Cliff Sparrow,16-23,16,12,0,28,0.571,0.571,
1,0.500,Cliff Sparrow,23-5,24,19,13,56,0.558,0.429,
1,0.500,Pig,16-23,21,16,0,37,0.568,0.568,
1,0.500,Pig,23-5,36,14,18,68,0.720,0.529,
1,0.500,Barn Owl,16-23,0,0,0,0,NaN,NaN,
1,0.500,Barn Owl,23-5,2,0,0,2,1.000,1.000,
1,0.500,Wild Pig,16-23,6,11,0,17,0.353,0.353,
1,0.500,Wild Pig,23-5,10,4,4,18,0.714,0.556,
1,0.500,Pennington Creek Water,16-23,0,345,0,345,0.000,0.000,
1,0.500,Pennington Creek Water,23-5,183,465,134,782,0.282,0.234,
1,0.500,Guinni,16-23,0,0,0,0,NaN,NaN,
1,0.500,Guinni,23-5,0,2,0,2,0.000,0.000,
1,0.500,Racoon,16-23,2,0,0,2,1.000,1.000,
1,0.500,Racoon,23-5,1,3,1,5,0.250,0.200,
1,0.500,Hu,16-23,23,6,0,29,0.793,0.793,
1,0.500,Hu,23-5,44,7,9,60,0.863,0.733,
1,0.500,Cw and Dg,16-23,11,19,0,30,0.367,0.367,
1,0.500,Cw and Dg,23-5,37,11,12,60,0.771,0.617,
1,0.500,Red Wind Blackbird,16-23,0,2,0,2,0.000,0.000,
1,0.500,Red Wind Blackbird,23-5,2,2,0,4,0.500,0.500,
1,0.500,Tree Swallow,16-23,2,0,0,2,1.000,1.000,
1,0.500,Tree Swallow,23-5,4,0,0,4,1.000,1.000,
1,0.500,Turkey Vulture,16-23,0,2,0,2,0.000,0.000,
1,0.500,Turkey Vulture,23-5,2,3,0,5,0.400,0.400,
1,0.500,Dg,16-23,10,20,0,30,0.333,0.333,
1,0.500,Dg,23-5,44,2,14,60,0.957,0.733,
1,0.500,Western Kingbird,16-23,0,2,0,2,0.000,0.000,
1,0.500,Western Kingbird,23-5,1,2,1,4,0.333,0.250,
1,0.500,White Crowned Sparrow,16-23,13,2,0,15,0.867,0.867,
1,0.500,White Crowned Sparrow,23-5,14,7,9,30,0.667,0.467,
1,0.500,Eared Grebe,16-23,0,0,0,0,NaN,NaN,
1,0.500,Eared Grebe,23-5,2,2,0,4,0.500,0.500,
1,0.500,cougar,16-23,0,1,0,1,0.000,0.000,
1,0.500,cougar,23-5,0,1,1,2,0.000,0.000,
1,0.500,Ocean Water,16-23,0,0,0,0,NaN,NaN,
1,0.500,Ocean Water,23-5,0,10,0,10,0.000,0.000,
1,0.500,Red Tailed Hawk,16-23,2,0,0,2,1.000,1.000,
1,0.500,Red Tailed Hawk,23-5,2,3,0,5,0.400,0.400,
1,0.500,Dog,16-23,100,38,0,138,0.725,0.725,
1,0.500,Dog,23-5,237,38,52,327,0.862,0.725,
1,0.500,Human,16-23,1729,147,0,1876,0.922,0.922,
1,0.500,Human,23-5,3020,154,624,3798,0.951,0.795,
1,0.500,Wild Turkey,16-23,18,28,0,46,0.391,0.391,
1,0.500,Wild Turkey,23-5,34,25,19,78,0.576,0.436,
1,0.500,Clark Grebe,16-23,0,0,0,0,NaN,NaN,
1,0.500,Clark Grebe,23-5,2,0,0,2,1.000,1.000,
1,0.500,Seagull,16-23,0,0,0,0,NaN,NaN,
1,0.500,Seagull,23-5,33,34,0,67,0.493,0.493,
1,0.500,Surf Scoter,16-23,0,0,0,0,NaN,NaN,
1,0.500,Surf Scoter,23-5,2,0,0,2,1.000,1.000,
1,0.500,Pigeon,16-23,132,108,0,240,0.550,0.550,
1,0.500,Pigeon,23-5,256,141,86,483,0.645,0.530,
1,0.500,Pacific Ocean Water,16-23,0,46,0,46,0.000,0.000,
1,0.500,Pacific Ocean Water,23-5,25,50,20,95,0.333,0.263,
1,0.500,Cat,16-23,41,12,0,53,0.774,0.774,
1,0.500,Cat,23-5,64,24,13,101,0.727,0.634,
1,0.500,Horse,16-23,21,25,0,46,0.457,0.457,
1,0.500,Horse,23-5,77,36,18,131,0.681,0.588,
1,0.500,orangutan,16-23,0,1,0,1,0.000,0.000,
1,0.500,orangutan,23-5,0,1,1,2,0.000,0.000,
1,0.500,Bat,16-23,36,1,0,37,0.973,0.973,
1,0.500,Bat,23-5,58,1,16,75,0.983,0.773,
1,0.500,Deer,16-23,17,4,0,21,0.810,0.810,
1,0.500,Deer,23-5,31,4,8,43,0.886,0.721,
1,0.500,Great Horned Owl,16-23,0,3,0,3,0.000,0.000,
1,0.500,Great Horned Owl,23-5,3,6,1,10,0.333,0.300,
1,0.500,Freshwater Lagoon,16-23,0,0,0,0,NaN,NaN,
1,0.500,Freshwater Lagoon,23-5,0,4,0,4,0.000,0.000,
1,0.500,Unknown Avian,16-23,0,2,0,2,0.000,0.000,
1,0.500,Unknown Avian,23-5,0,2,2,4,0.000,0.000,
1,0.500,Human UTI,16-23,115,24,0,139,0.827,0.827,
1,0.500,Human UTI,23-5,210,12,57,279,0.946,0.753,
1,0.500,unknown,16-23,6,5,0,11,0.545,0.545,
1,0.500,unknown,23-5,14,3,5,22,0.824,0.636,
1,0.500,SLO Creek Water,16-23,0,876,0,876,0.000,0.000,
1,0.500,SLO Creek Water,23-5,452,1326,353,2131,0.254,0.212,
1,0.500,Pig/Swine,16-23,15,11,0,26,0.577,0.577,
1,0.500,Pig/Swine,23-5,27,12,10,49,0.692,0.551,
1,0.500,Klebsiella,16-23,0,0,0,0,NaN,NaN,
1,0.500,Klebsiella,23-5,0,0,0,0,NaN,NaN,
1,0.500,Hu Cw and Dg,16-23,10,20,0,30,0.333,0.333,
1,0.500,Hu Cw and Dg,23-5,31,10,19,60,0.756,0.517,
1,0.500,Ground Squirrel,16-23,114,60,0,174,0.655,0.655,
1,0.500,Ground Squirrel,23-5,199,61,58,318,0.765,0.626,
1,0.500,Opossum,16-23,4,2,0,6,0.667,0.667,
1,0.500,Opossum,23-5,7,1,4,12,0.875,0.583,
1,0.500,Cow,16-23,1574,215,0,1789,0.880,0.880,
1,0.500,Cow,23-5,2562,218,710,3490,0.922,0.734,
1,0.500,Deer Mouse,16-23,0,2,0,2,0.000,0.000,
1,0.500,Deer Mouse,23-5,0,2,2,4,0.000,0.000,
1,0.500,OVERALL,16-23,4196,2152,0,6348,0.661,0.661,
1,0.500,OVERALL,23-5,8041,2794,2401,13236,0.742,0.608,
1,0.900,Chicken,16-23,22,18,0,40,0.550,0.550,
1,0.900,Chicken,23-5,28,14,40,82,0.667,0.341,
1,0.900,Sea Lion,16-23,1,1,0,2,0.500,0.500,
1,0.900,Sea Lion,23-5,4,0,2,6,1.000,0.667,
1,0.900,Hu and Cw,16-23,17,13,0,30,0.567,0.567,
1,0.900,Hu and Cw,23-5,14,16,30,60,0.467,0.233,
1,0.900,Sheep,16-23,78,26,0,104,0.750,0.750,
1,0.900,Sheep,23-5,78,20,94,192,0.796,0.406,
1,0.900,Hu and Dg,16-23,19,13,0,32,0.594,0.594,
1,0.900,Hu and Dg,23-5,20,10,30,60,0.667,0.333,
1,0.900,Common Loon,16-23,2,0,0,2,1.000,1.000,
1,0.900,Common Loon,23-5,0,2,2,4,0.000,0.000,
1,0.900,Red-Winged Blackbird,16-23,2,0,0,2,1.000,1.000,
1,0.900,Red-Winged Blackbird,23-5,2,0,2,4,1.000,0.500,
1,0.900,Cw,16-23,17,13,0,30,0.567,0.567,
1,0.900,Cw,23-5,20,10,30,60,0.667,0.333,
1,0.900,Cliff Sparrow,16-23,16,12,0,28,0.571,0.571,
1,0.900,Cliff Sparrow,23-5,10,19,27,56,0.345,0.179,
1,0.900,Pig,16-23,21,16,0,37,0.568,0.568,
1,0.900,Pig,23-5,20,14,34,68,0.588,0.294,
1,0.900,Barn Owl,16-23,0,0,0,0,NaN,NaN,
1,0.900,Barn Owl,23-5,2,0,0,2,1.000,1.000,
1,0.900,Wild Pig,16-23,6,11,0,17,0.353,0.353,
1,0.900,Wild Pig,23-5,6,4,8,18,0.600,0.333,
1,0.900,Pennington Creek Water,16-23,0,344,1,345,0.000,0.000,
1,0.900,Pennington Creek Water,23-5,0,461,321,782,0.000,0.000,
1,0.900,Guinni,16-23,0,0,0,0,NaN,NaN,
1,0.900,Guinni,23-5,0,2,0,2,0.000,0.000,
1,0.900,Racoon,16-23,2,0,0,2,1.000,1.000,
1,0.900,Racoon,23-5,0,3,2,5,0.000,0.000,
1,0.900,Hu,16-23,23,6,0,29,0.793,0.793,
1,0.900,Hu,23-5,24,7,29,60,0.774,0.400,
1,0.900,Cw and Dg,16-23,11,19,0,30,0.367,0.367,
1,0.900,Cw and Dg,23-5,19,11,30,60,0.633,0.317,
1,0.900,Red Wind Blackbird,16-23,0,2,0,2,0.000,0.000,
1,0.900,Red Wind Blackbird,23-5,0,2,2,4,0.000,0.000,
1,0.900,Tree Swallow,16-23,2,0,0,2,1.000,1.000,
1,0.900,Tree Swallow,23-5,2,0,2,4,1.000,0.500,
1,0.900,Turkey Vulture,16-23,0,2,0,2,0.000,0.000,
1,0.900,Turkey Vulture,23-5,0,3,2,5,0.000,0.000,
1,0.900,Dg,16-23,10,20,0,30,0.333,0.333,
1,0.900,Dg,23-5,28,2,30,60,0.933,0.467,
1,0.900,Western Kingbird,16-23,0,2,0,2,0.000,0.000,
1,0.900,Western Kingbird,23-5,0,2,2,4,0.000,0.000,
1,0.900,White Crowned Sparrow,16-23,13,2,0,15,0.867,0.867,
1,0.900,White Crowned Sparrow,23-5,8,7,15,30,0.533,0.267,
1,0.900,Eared Grebe,16-23,0,0,0,0,NaN,NaN,
1,0.900,Eared Grebe,23-5,2,2,0,4,0.500,0.500,
1,0.900,cougar,16-23,0,1,0,1,0.000,0.000,
1,0.900,cougar,23-5,0,1,1,2,0.000,0.000,
1,0.900,Ocean Water,16-23,0,0,0,0,NaN,NaN,
1,0.900,Ocean Water,23-5,0,10,0,10,0.000,0.000,
1,0.900,Red Tailed Hawk,16-23,2,0,0,2,1.000,1.000,
1,0.900,Red Tailed Hawk,23-5,0,3,2,5,0.000,0.000,
1,0.900,Dog,16-23,100,38,0,138,0.725,0.725,
1,0.900,Dog,23-5,151,38,138,327,0.799,0.462,
1,0.900,Human,16-23,1729,147,0,1876,0.922,0.922,
1,0.900,Human,23-5,2173,154,1471,3798,0.934,0.572,
1,0.900,Wild Turkey,16-23,18,28,0,46,0.391,0.391,
1,0.900,Wild Turkey,23-5,14,25,39,78,0.359,0.179,
1,0.900,Clark Grebe,16-23,0,0,0,0,NaN,NaN,
1,0.900,Clark Grebe,23-5,2,0,0,2,1.000,1.000,
1,0.900,Seagull,16-23,0,0,0,0,NaN,NaN,
1,0.900,Seagull,23-5,33,34,0,67,0.493,0.493,
1,0.900,Surf Scoter,16-23,0,0,0,0,NaN,NaN,
1,0.900,Surf Scoter,23-5,2,0,0,2,1.000,1.000,
1,0.900,Pigeon,16-23,132,108,0,240,0.550,0.550,
1,0.900,Pigeon,23-5,150,141,192,483,0.515,0.311,
1,0.900,Pacific Ocean Water,16-23,0,46,0,46,0.000,0.000,
1,0.900,Pacific Ocean Water,23-5,0,50,45,95,0.000,0.000,
1,0.900,Cat,16-23,41,12,0,53,0.774,0.774,
1,0.900,Cat,23-5,39,24,38,101,0.619,0.386,
1,0.900,Horse,16-23,21,25,0,46,0.457,0.457,
1,0.900,Horse,23-5,51,36,44,131,0.586,0.389,
1,0.900,orangutan,16-23,0,1,0,1,0.000,0.000,
1,0.900,orangutan,23-5,0,1,1,2,0.000,0.000,
1,0.900,Bat,16-23,36,1,0,37,0.973,0.973,
1,0.900,Bat,23-5,37,1,37,75,0.974,0.493,
1,0.900,Deer,16-23,17,4,0,21,0.810,0.810,
1,0.900,Deer,23-5,18,4,21,43,0.818,0.419,
1,0.900,Great Horned Owl,16-23,0,3,0,3,0.000,0.000,
1,0.900,Great Horned Owl,23-5,1,6,3,10,0.143,0.100,
1,0.900,Freshwater Lagoon,16-23,0,0,0,0,NaN,NaN,
1,0.900,Freshwater Lagoon,23-5,0,4,0,4,0.000,0.000,
1,0.900,Unknown Avian,16-23,0,2,0,2,0.000,0.000,
1,0.900,Unknown Avian,23-5,0,2,2,4,0.000,0.000,
1,0.900,Human UTI,16-23,115,24,0,139,0.827,0.827,
1,0.900,Human UTI,23-5,129,12,138,279,0.915,0.462,
1,0.900,unknown,16-23,6,5,0,11,0.545,0.545,
1,0.900,unknown,23-5,8,3,11,22,0.727,0.364,
1,0.900,SLO Creek Water,16-23,0,873,3,876,0.000,0.000,
1,0.900,SLO Creek Water,23-5,6,1322,803,2131,0.005,0.003,
1,0.900,Pig/Swine,16-23,15,11,0,26,0.577,0.577,
1,0.900,Pig/Swine,23-5,13,12,24,49,0.520,0.265,
1,0.900,Klebsiella,16-23,0,0,0,0,NaN,NaN,
1,0.900,Klebsiella,23-5,0,0,0,0,NaN,NaN,
1,0.900,Hu Cw and Dg,16-23,10,20,0,30,0.333,0.333,
1,0.900,Hu Cw and Dg,23-5,20,10,30,60,0.667,0.333,
1,0.900,Ground Squirrel,16-23,114,60,0,174,0.655,0.655,
1,0.900,Ground Squirrel,23-5,116,61,141,318,0.655,0.365,
1,0.900,Opossum,16-23,4,2,0,6,0.667,0.667,
1,0.900,Opossum,23-5,5,1,6,12,0.833,0.417,
1,0.900,Cow,16-23,1574,215,0,1789,0.880,0.880,
1,0.900,Cow,23-5,1561,218,1711,3490,0.877,0.447,
1,0.900,Deer Mouse,16-23,0,2,0,2,0.000,0.000,
1,0.900,Deer Mouse,23-5,0,2,2,4,0.000,0.000,
1,0.900,OVERALL,16-23,4196,2148,4,6348,0.661,0.661,
1,0.900,OVERALL,23-5,4816,2786,5634,13236,0.634,0.364,
1,0.950,Chicken,16-23,22,18,0,40,0.550,0.550,
1,0.950,Chicken,23-5,28,14,40,82,0.667,0.341,
1,0.950,Sea Lion,16-23,1,1,0,2,0.500,0.500,
1,0.950,Sea Lion,23-5,4,0,2,6,1.000,0.667,
1,0.950,Hu and Cw,16-23,17,13,0,30,0.567,0.567,
1,0.950,Hu and Cw,23-5,14,16,30,60,0.467,0.233,
1,0.950,Sheep,16-23,78,26,0,104,0.750,0.750,
1,0.950,Sheep,23-5,78,19,95,192,0.804,0.406,
1,0.950,Hu and Dg,16-23,19,13,0,32,0.594,0.594,
1,0.950,Hu and Dg,23-5,20,10,30,60,0.667,0.333,
1,0.950,Common Loon,16-23,2,0,0,2,1.000,1.000,
1,0.950,Common Loon,23-5,0,2,2,4,0.000,0.000,
1,0.950,Red-Winged Blackbird,16-23,2,0,0,2,1.000,1.000,
1,0.950,Red-Winged Blackbird,23-5,2,0,2,4,1.000,0.500,
1,0.950,Cw,16-23,17,13,0,30,0.567,0.567,
1,0.950,Cw,23-5,20,10,30,60,0.667,0.333,
1,0.950,Cliff Sparrow,16-23,16,12,0,28,0.571,0.571,
1,0.950,Cliff Sparrow,23-5,10,19,27,56,0.345,0.179,
1,0.950,Pig,16-23,21,16,0,37,0.568,0.568,
1,0.950,Pig,23-5,20,14,34,68,0.588,0.294,
1,0.950,Barn Owl,16-23,0,0,0,0,NaN,NaN,
1,0.950,Barn Owl,23-5,2,0,0,2,1.000,1.000,
1,0.950,Wild Pig,16-23,6,11,0,17,0.353,0.353,
1,0.950,Wild Pig,23-5,6,4,8,18,0.600,0.333,
1,0.950,Pennington Creek Water,16-23,0,341,4,345,0.000,0.000,
1,0.950,Pennington Creek Water,23-5,0,454,328,782,0.000,0.000,
1,0.950,Guinni,16-23,0,0,0,0,NaN,NaN,
1,0.950,Guinni,23-5,0,2,0,2,0.000,0.000,
1,0.950,Racoon,16-23,2,0,0,2,1.000,1.000,
1,0.950,Racoon,23-5,0,3,2,5,0.000,0.000,
1,0.950,Hu,16-23,23,6,0,29,0.793,0.793,
1,0.950,Hu,23-5,24,7,29,60,0.774,0.400,
1,0.950,Cw and Dg,16-23,11,19,0,30,0.367,0.367,
1,0.950,Cw and Dg,23-5,19,11,30,60,0.633,0.317,
1,0.950,Red Wind Blackbird,16-23,0,2,0,2,0.000,0.000,
1,0.950,Red Wind Blackbird,23-5,0,2,2,4,0.000,0.000,
1,0.950,Tree Swallow,16-23,2,0,0,2,1.000,1.000,
1,0.950,Tree Swallow,23-5,2,0,2,4,1.000,0.500,
1,0.950,Turkey Vulture,16-23,0,2,0,2,0.000,0.000,
1,0.950,Turkey Vulture,23-5,0,3,2,5,0.000,0.000,
1,0.950,Dg,16-23,10,20,0,30,0.333,0.333,
1,0.950,Dg,23-5,28,2,30,60,0.933,0.467,
1,0.950,Western Kingbird,16-23,0,2,0,2,0.000,0.000,
1,0.950,Western Kingbird,23-5,0,2,2,4,0.000,0.000,
1,0.950,White Crowned Sparrow,16-23,13,2,0,15,0.867,0.867,
1,0.950,White Crowned Sparrow,23-5,8,7,15,30,0.533,0.267,
1,0.950,Eared Grebe,16-23,0,0,0,0,NaN,NaN,
1,0.950,Eared Grebe,23-5,2,2,0,4,0.500,0.500,
1,0.950,cougar,16-23,0,1,0,1,0.000,0.000,
1,0.950,cougar,23-5,0,1,1,2,0.000,0.000,
1,0.950,Ocean Water,16-23,0,0,0,0,NaN,NaN,
1,0.950,Ocean Water,23-5,0,10,0,10,0.000,0.000,
1,0.950,Red Tailed Hawk,16-23,2,0,0,2,1.000,1.000,
1,0.950,Red Tailed Hawk,23-5,0,3,2,5,0.000,0.000,
1,0.950,Dog,16-23,100,38,0,138,0.725,0.725,
1,0.950,Dog,23-5,151,38,138,327,0.799,0.462,
1,0.950,Human,16-23,1729,147,0,1876,0.922,0.922,
1,0.950,Human,23-5,2173,152,1473,3798,0.935,0.572,
1,0.950,Wild Turkey,16-23,18,28,0,46,0.391,0.391,
1,0.950,Wild Turkey,23-5,14,25,39,78,0.359,0.179,
1,0.950,Clark Grebe,16-23,0,0,0,0,NaN,NaN,
1,0.950,Clark Grebe,23-5,2,0,0,2,1.000,1.000,
1,0.950,Seagull,16-23,0,0,0,0,NaN,NaN,
1,0.950,Seagull,23-5,33,34,0,67,0.493,0.493,
1,0.950,Surf Scoter,16-23,0,0,0,0,NaN,NaN,
1,0.950,Surf Scoter,23-5,2,0,0,2,1.000,1.000,
1,0.950,Pigeon,16-23,132,108,0,240,0.550,0.550,
1,0.950,Pigeon,23-5,150,140,193,483,0.517,0.311,
1,0.950,Pacific Ocean Water,16-23,0,46,0,46,0.000,0.000,
1,0.950,Pacific Ocean Water,23-5,0,49,46,95,0.000,0.000,
1,0.950,Cat,16-23,41,12,0,53,0.774,0.774,
1,0.950,Cat,23-5,39,24,38,101,0.619,0.386,
1,0.950,Horse,16-23,21,25,0,46,0.457,0.457,
1,0.950,Horse,23-5,51,36,44,131,0.586,0.389,
1,0.950,orangutan,16-23,0,1,0,1,0.000,0.000,
1,0.950,orangutan,23-5,0,1,1,2,0.000,0.000,
1,0.950,Bat,16-23,36,1,0,37,0.973,0.973,
1,0.950,Bat,23-5,37,1,37,75,0.974,0.493,
1,0.950,Deer,16-23,17,4,0,21,0.810,0.810,
1,0.950,Deer,23-5,18,4,21,43,0.818,0.419,
1,0.950,Great Horned Owl,16-23,0,3,0,3,0.000,0.000,
1,0.950,Great Horned Owl,23-5,1,6,3,10,0.143,0.100,
