k,alpha,species,applied-region,Successes (# Pyroprints),Failures (# Pyroprints),NonDecisions (# Pyroprints),Total,Decision Accuracy(\%),Overall Accuracy(\%)
11,0.500,Horse,23-5,23,64,0,87,26.437,26.437
11,0.500,Seagull,16-23,0,0,0,0,NaN,NaN
11,0.500,Seagull,23-5,62,30,0,92,67.391,67.391
11,0.500,Dog,16-23,54,88,0,142,38.028,38.028
11,0.500,Dog,23-5,109,103,1,213,51.415,51.174
11,0.500,Human,16-23,1892,186,0,2078,91.049,91.049
11,0.500,Human,23-5,2324,157,0,2481,93.672,93.672
11,0.500,Hu and Cw,16-23,20,10,0,30,66.667,66.667
11,0.500,Hu and Cw,23-5,15,15,0,30,50.000,50.000
11,0.500,Dg,16-23,6,24,0,30,20.000,20.000
11,0.500,Dg,23-5,28,2,0,30,93.333,93.333
11,0.500,Human UTI,16-23,75,64,0,139,53.957,53.957
11,0.500,Human UTI,23-5,100,41,0,141,70.922,70.922
11,0.500,Pig/Swine,16-23,5,22,0,27,18.519,18.519
11,0.500,Pig/Swine,23-5,8,17,0,25,32.000,32.000
11,0.500,Red-Winged Blackbird,16-23,0,2,0,2,0.000,0.000
11,0.500,Red-Winged Blackbird,23-5,0,3,0,3,0.000,0.000
11,0.500,Racoon,16-23,0,2,0,2,0.000,0.000
11,0.500,Racoon,23-5,0,4,0,4,0.000,0.000
11,0.500,Wild Pig,16-23,1,16,0,17,5.882,5.882
11,0.500,Wild Pig,23-5,1,11,0,12,8.333,8.333
11,0.500,Cow,16-23,1616,251,0,1867,86.556,86.556
11,0.500,Cow,23-5,1642,272,0,1914,85.789,85.789
