k,alpha,species,applied-region,Successes (# Pyroprints),Failures (# Pyroprints),NonDecisions (# Pyroprints),Total,Decision Accuracy(\%),Overall Accuracy(\%),
1,0.500,Guinni,16-23,0,0,0,0,NaN,NaN,
1,0.500,Guinni,23-5,0,2,0,2,0.000,0.000,
1,0.500,Racoon,16-23,2,0,0,2,100.000,100.000,
1,0.500,Racoon,23-5,0,3,0,3,0.000,0.000,
1,0.500,Hu,16-23,23,6,0,29,79.310,79.310,
1,0.500,Hu,23-5,24,7,0,31,77.419,77.419,
1,0.500,Cw and Dg,16-23,11,19,0,30,36.667,36.667,
1,0.500,Cw and Dg,23-5,19,11,0,30,63.333,63.333,
1,0.500,Red Wind Blackbird,16-23,0,2,0,2,0.000,0.000,
1,0.500,Red Wind Blackbird,23-5,0,2,0,2,0.000,0.000,
1,0.500,Tree Swallow,16-23,2,0,0,2,100.000,100.000,
1,0.500,Tree Swallow,23-5,2,0,0,2,100.000,100.000,
1,0.500,Turkey Vulture,16-23,0,2,0,2,0.000,0.000,
1,0.500,Turkey Vulture,23-5,0,3,0,3,0.000,0.000,
1,0.500,Dg,16-23,10,20,0,30,33.333,33.333,
1,0.500,Dg,23-5,28,2,0,30,93.333,93.333,
1,0.500,Western Kingbird,16-23,0,2,0,2,0.000,0.000,
1,0.500,Western Kingbird,23-5,0,2,0,2,0.000,0.000,
1,0.500,White Crowned Sparrow,16-23,13,2,0,15,86.667,86.667,
1,0.500,White Crowned Sparrow,23-5,8,7,0,15,53.333,53.333,
1,0.500,Eared Grebe,16-23,0,0,0,0,NaN,NaN,
1,0.500,Eared Grebe,23-5,2,2,0,4,50.000,50.000,
1,0.500,cougar,16-23,0,1,0,1,0.000,0.000,
1,0.500,cougar,23-5,0,1,0,1,0.000,0.000,
1,0.500,Ocean Water,16-23,0,0,0,0,NaN,NaN,
1,0.500,Ocean Water,23-5,0,10,0,10,0.000,0.000,
1,0.500,Red Tailed Hawk,16-23,2,0,0,2,100.000,100.000,
1,0.500,Red Tailed Hawk,23-5,0,3,0,3,0.000,0.000,
1,0.500,Dog,16-23,100,38,0,138,72.464,72.464,
1,0.500,Dog,23-5,151,38,0,189,79.894,79.894,
1,0.500,Human,16-23,1729,147,0,1876,92.164,92.164,
1,0.500,Human,23-5,2173,154,0,2327,93.382,93.382,
1,0.500,Wild Turkey,16-23,18,28,0,46,39.130,39.130,
1,0.500,Wild Turkey,23-5,14,25,0,39,35.897,35.897,
1,0.500,Clark Grebe,16-23,0,0,0,0,NaN,NaN,
1,0.500,Clark Grebe,23-5,2,0,0,2,100.000,100.000,
1,0.500,Seagull,16-23,0,0,0,0,NaN,NaN,
1,0.500,Seagull,23-5,33,34,0,67,49.254,49.254,
