k,alpha,species,applied-region,Successes,Failures,NonDecisions,Total,DecisionAccuracy,OverallAccuracy
13 , 1.000 , OVERALL , 23-5 , 92 , 0 , 6080 , 6172 , 1.000 , 0.015
14 , 0.000 , OVERALL , 16-23 , 4023 , 1430 , 0 , 5453 , 0.738 , 0.738
14 , 0.000 , OVERALL , 23-5 , 4713 , 1459 , 0 , 6172 , 0.764 , 0.764
14 , 0.500 , OVERALL , 16-23 , 4025 , 1428 , 0 , 5453 , 0.738 , 0.738
14 , 0.500 , OVERALL , 23-5 , 4711 , 1458 , 3 , 6172 , 0.764 , 0.763
14 , 0.900 , OVERALL , 16-23 , 4027 , 1422 , 4 , 5453 , 0.739 , 0.738
14 , 0.900 , OVERALL , 23-5 , 4710 , 1451 , 11 , 6172 , 0.764 , 0.763
14 , 0.950 , OVERALL , 16-23 , 4030 , 1415 , 8 , 5453 , 0.740 , 0.739
14 , 0.950 , OVERALL , 23-5 , 4706 , 1444 , 22 , 6172 , 0.765 , 0.762
14 , 0.960 , OVERALL , 16-23 , 4030 , 1413 , 10 , 5453 , 0.740 , 0.739
14 , 0.960 , OVERALL , 23-5 , 4704 , 1439 , 29 , 6172 , 0.766 , 0.762
14 , 0.970 , OVERALL , 16-23 , 4018 , 1411 , 24 , 5453 , 0.740 , 0.737
14 , 0.970 , OVERALL , 23-5 , 4700 , 1428 , 44 , 6172 , 0.767 , 0.762
14 , 0.980 , OVERALL , 16-23 , 4005 , 1389 , 59 , 5453 , 0.742 , 0.734
14 , 0.980 , OVERALL , 23-5 , 4695 , 1397 , 80 , 6172 , 0.771 , 0.761
14 , 0.990 , OVERALL , 16-23 , 3956 , 1289 , 208 , 5453 , 0.754 , 0.725
14 , 0.990 , OVERALL , 23-5 , 4683 , 1311 , 178 , 6172 , 0.781 , 0.759
14 , 1.000 , OVERALL , 16-23 , 70 , 0 , 5383 , 5453 , 1.000 , 0.013
14 , 1.000 , OVERALL , 23-5 , 92 , 0 , 6080 , 6172 , 1.000 , 0.015
15 , 0.000 , OVERALL , 16-23 , 4006 , 1447 , 0 , 5453 , 0.735 , 0.735
15 , 0.000 , OVERALL , 23-5 , 4681 , 1491 , 0 , 6172 , 0.758 , 0.758
15 , 0.500 , OVERALL , 16-23 , 4008 , 1445 , 0 , 5453 , 0.735 , 0.735
15 , 0.500 , OVERALL , 23-5 , 4679 , 1490 , 3 , 6172 , 0.758 , 0.758
15 , 0.900 , OVERALL , 16-23 , 4010 , 1439 , 4 , 5453 , 0.736 , 0.735
15 , 0.900 , OVERALL , 23-5 , 4679 , 1482 , 11 , 6172 , 0.759 , 0.758
15 , 0.950 , OVERALL , 16-23 , 4012 , 1433 , 8 , 5453 , 0.737 , 0.736
15 , 0.950 , OVERALL , 23-5 , 4679 , 1471 , 22 , 6172 , 0.761 , 0.758
15 , 0.960 , OVERALL , 16-23 , 4014 , 1429 , 10 , 5453 , 0.737 , 0.736
15 , 0.960 , OVERALL , 23-5 , 4678 , 1465 , 29 , 6172 , 0.762 , 0.758
15 , 0.970 , OVERALL , 16-23 , 4004 , 1425 , 24 , 5453 , 0.738 , 0.734
15 , 0.970 , OVERALL , 23-5 , 4674 , 1454 , 44 , 6172 , 0.763 , 0.757
15 , 0.980 , OVERALL , 16-23 , 3991 , 1403 , 59 , 5453 , 0.740 , 0.732
15 , 0.980 , OVERALL , 23-5 , 4668 , 1424 , 80 , 6172 , 0.766 , 0.756
15 , 0.990 , OVERALL , 16-23 , 3945 , 1300 , 208 , 5453 , 0.752 , 0.723
15 , 0.990 , OVERALL , 23-5 , 4660 , 1334 , 178 , 6172 , 0.777 , 0.755
15 , 1.000 , OVERALL , 16-23 , 70 , 0 , 5383 , 5453 , 1.000 , 0.013
15 , 1.000 , OVERALL , 23-5 , 92 , 0 , 6080 , 6172 , 1.000 , 0.015
16 , 0.000 , OVERALL , 16-23 , 3984 , 1469 , 0 , 5453 , 0.731 , 0.731
16 , 0.000 , OVERALL , 23-5 , 4666 , 1506 , 0 , 6172 , 0.756 , 0.756
